"Country Name","Country Code","Region","Income_Group",
"Aruba","ABW","","Ingreso alto: No miembros de OCDE",
"Afganistán","AFG","Asia meridional","Países de ingreso bajo",
"Angola","AGO","África al sur del Sahara","Ingreso mediano alto",
"Albania","ALB","Europa y Asia central","Ingreso mediano alto",
"Andorra","AND","","Ingreso alto: No miembros de OCDE",
"Región Andina","ANR","","Agregados",
"El mundo árabe","ARB","","Agregados",
"Emiratos Árabes Unidos","ARE","","Ingreso alto: No miembros de OCDE",
"Argentina","ARG","América Latina y el Caribe (países en desarrollo solamente)","Ingreso mediano alto",
"Armenia","ARM","Europa y Asia central","Países de ingreso mediano bajo",
"Samoa Americana","ASM","Asia oriental y el Pacífico","Ingreso mediano alto",
"Antigua y Barbuda","ATG","","Ingreso alto: No miembros de OCDE",
"Australia","AUS","","Ingreso alto: Miembros de OCDE",
"Austria","AUT","","Ingreso alto: Miembros de OCDE",
"Azerbaiyán","AZE","Europa y Asia central","Ingreso mediano alto",
"Burundi","BDI","África al sur del Sahara","Países de ingreso bajo",
"Bélgica","BEL","","Ingreso alto: Miembros de OCDE",
"Benin","BEN","África al sur del Sahara","Países de ingreso bajo",
"Burkina Faso","BFA","África al sur del Sahara","Países de ingreso bajo",
"Bangladesh","BGD","Asia meridional","Países de ingreso bajo",
"Bulgaria","BGR","Europa y Asia central","Ingreso mediano alto",
"Bahrein","BHR","","Ingreso alto: No miembros de OCDE",
"Bahamas","BHS","","Ingreso alto: No miembros de OCDE",
"Bosnia y Herzegovina","BIH","Europa y Asia central","Ingreso mediano alto",
"Belarús","BLR","Europa y Asia central","Ingreso mediano alto",
"Belice","BLZ","América Latina y el Caribe (países en desarrollo solamente)","Ingreso mediano alto",
"Bermudas","BMU","","Ingreso alto: No miembros de OCDE",
"Bolivia","BOL","América Latina y el Caribe (países en desarrollo solamente)","Países de ingreso mediano bajo",
"Brasil","BRA","América Latina y el Caribe (países en desarrollo solamente)","Ingreso mediano alto",
"Barbados","BRB","","Ingreso alto: No miembros de OCDE",
"Brunei Darussalam","BRN","","Ingreso alto: No miembros de OCDE",
"Bhután","BTN","Asia meridional","Países de ingreso mediano bajo",
"Botswana","BWA","África al sur del Sahara","Ingreso mediano alto",
"","CAA","","Agregados",
"República Centroafricana","CAF","África al sur del Sahara","Países de ingreso bajo",
"Canadá","CAN","","Ingreso alto: Miembros de OCDE",
"","CEA","","Agregados",
"","CEB","","Agregados",
"","CEU","","Agregados",
"Suiza","CHE","","Ingreso alto: Miembros de OCDE",
"Islas del Canal","CHI","","Ingreso alto: No miembros de OCDE",
"Chile","CHL","","Ingreso alto: Miembros de OCDE",
"China","CHN","Asia oriental y el Pacífico","Ingreso mediano alto",
"Côte d'Ivoire","CIV","África al sur del Sahara","Países de ingreso mediano bajo",
"","CLA","","Agregados",
"","CME","","Agregados",
"Camerún","CMR","África al sur del Sahara","Países de ingreso mediano bajo",
"Congo, República Democrática del","COD","África al sur del Sahara","Países de ingreso bajo",
"Congo, República del","COG","África al sur del Sahara","Países de ingreso mediano bajo",
"Colombia","COL","América Latina y el Caribe (países en desarrollo solamente)","Ingreso mediano alto",
"Comoras","COM","África al sur del Sahara","Países de ingreso bajo",
"Cabo Verde","CPV","África al sur del Sahara","Países de ingreso mediano bajo",
"Costa Rica","CRI","América Latina y el Caribe (países en desarrollo solamente)","Ingreso mediano alto",
"","CSA","","Agregados",
"Estados pequeos del Caribe","CSS","","Agregados",
"Cuba","CUB","América Latina y el Caribe (países en desarrollo solamente)","Ingreso mediano alto",
"Curacao","CUW","","Ingreso alto: No miembros de OCDE",
"Islas Caimán","CYM","","Ingreso alto: No miembros de OCDE",
"Chipre","CYP","","Ingreso alto: No miembros de OCDE",
"República Checa","CZE","","Ingreso alto: Miembros de OCDE",
"Alemania","DEU","","Ingreso alto: Miembros de OCDE",
"Djibouti","DJI","Oriente Medio y Norte de África","Países de ingreso mediano bajo",
"Dominica","DMA","América Latina y el Caribe (países en desarrollo solamente)","Ingreso mediano alto",
"Dinamarca","DNK","","Ingreso alto: Miembros de OCDE",
"República Dominicana","DOM","América Latina y el Caribe (países en desarrollo solamente)","Ingreso mediano alto",
"Argelia","DZA","Oriente Medio y Norte de África","Ingreso mediano alto",
"Asia oriental y el Pacífico","EAP","","Agregados",
"Asia oriental y el Pacífico (todos los niveles de ingreso)","EAS","","Agregados",
"Europa y Asia central","ECA","","Agregados",
"Europa y Asia central (todos los niveles de ingreso)","ECS","","Agregados",
"Ecuador","ECU","América Latina y el Caribe (países en desarrollo solamente)","Ingreso mediano alto",
"Egipto, República Árabe de","EGY","Oriente Medio y Norte de África","Países de ingreso mediano bajo",
"Zona del Euro","EMU","","Agregados",
"Eritrea","ERI","África al sur del Sahara","Países de ingreso bajo",
"España","ESP","","Ingreso alto: Miembros de OCDE",
"Estonia","EST","","Ingreso alto: Miembros de OCDE",
"Etiopía","ETH","África al sur del Sahara","Países de ingreso bajo",
"Unión Europea","EUU","","Agregados",
"","FCS","","Agregados",
