Country,operNum,operEnr_MW,consNum,consEnr_MW
Argentina,3,1627,1,25
Armenia,1,375,,
Belarus,,1,1.109
Belgium,7,5927,,
Brazil,2,1884,1,1245
Bulgaria,2,1906,,
Canada,19,13500,,
China,22,18056,27,26756
Czech Republic,6,3884,,
Finland,4,2752,1,1600
France,58,63130,1,1630
Germany,9,12068,,
Hungary,4,1889,,
India,21,5308,6,3907
Iran,1,915,,
Japan,48,42388,2,1.325
Korea Republic,23,20721,5,6370
Mexico,2,1330,,
Netherlands,1,482,,
Pakistan,3,690,2,630
Romania,2,1300,,
Russian Federation,33,23643,10,8382
Slovakian Republic,4,1815,2,880
Slovenia,1,688,,
South Africa,2,1860,,
Spain,7,7121,,
Sweden,10,9474,,
Switzerland,5,3308,,
Taiwan,6,5032,2,2600
Ukraine,15,13107,2,1900
United Arab Emirates,,,2,2690
United Kingdom,16,9243,,
USA,100,99081,5,5633
