"Pos.","Team","G","Pld","W","D","L","Pts","GF","GA","GD"
"1","Germany","G","7","6","1","0","19","18","4","14"
"2","Argentina","F","7","5","1","1","16","8","4","4"
"3","Netherlands","B","7","5","2","0","17","15","4","11"
"4","Brazil","A","7","3","2","2","11","11","14","-3"
"5","Colombia","C","5","4","0","1","12","12","4","8"
"6","Belgium","H","5","4","0","1","12","6","3","3"
"7","France","E","5","3","1","1","10","10","3","7"
"8","Costa Rica","D","5","2","3","0","9","5","2","3"
"9","Chile","B","4","2","1","1","7","6","4","2"
"10","Mexico","A","4","2","1","1","7","5","3","2"
"11","Switzerland","E","4","2","0","2","6","7","7","0"
"12","Uruguay","D","4","2","0","2","6","4","6","-2"
"13","Greece","C","4","1","2","1","5","3","5","-2"
"14","Algeria","H","4","1","1","2","4","7","7","0"
"15","United States","G","4","1","1","2","4","5","6","-1"
"16","Nigeria","F","4","1","1","2","4","3","5","-2"
"17","Ecuador","E","3","1","1","1","4","3","3","0"
"18","Portugal","G","3","1","1","1","4","4","7","-3"
"19","Croatia","A","3","1","0","2","3","6","6","0"
"20","Bosnia and Herzegovina","F","3","1","0","2","3","4","4","0"
"21","Ivory Coast","C","3","1","0","2","3","4","5","-1"
"22","Italy","D","3","1","0","2","3","2","3","-1"
"23","Spain","B","3","1","0","2","3","4","7","-3"
"24","Russia","H","3","0","2","1","2","2","3","-1"
"25","Ghana","G","3","0","1","2","1","4","6","-2"
"26","England","D","3","0","1","2","1","2","4","-2"
"27","South Korea","H","3","0","1","2","1","3","6","-3"
"28","Iran","F","3","0","1","2","1","1","4","-3"
"29","Japan","C","3","0","1","2","1","2","6","-4"
"30","Australia","B","3","0","0","3","0","3","9","-6"
"31","Honduras","E","3","0","0","3","0","1","8","-7"
"32","Cameroon","A","3","0","0","3","0","1","9","-8"
