
Country,WB Code,CPI 2013 Score,Country Rank
Algeria,DZA,36,94
Argentina,ARG,34,106
Australia,AUS,81,9
Belgium,BEL,75,15
Bosnia & Herzegovina,BIH,42,72
Brazil,BRA,42,72
Cameroon,CMR,25,144
Chile,CHL,71,22
Colombia,COL,36,94
Costa Rica,CRI,53,49
Cote d Ivoire,CIV,27,136
Croatia,HRV,48,57
Ecuador,ECU,35,102
England,GBR,76,14
France,FRA,71,22
Germany,DEU,78,12
Ghana,GHA,46,63
Greece,GRC,40,80
Honduras,HND,26,140
Iran,IRN,25,144
Italy,ITA,43,69
Japan,JPN,74,18
Korea,KOR,55,46
Mexico,MEX,34,106
Netherlands,NLD,83,8
Nigeria,NGA,25,144
Portugal,PRT,62,33
Russia,RUS,28,127
Spain,ESP,59,40
Switzerland,CHE,85,7
Uruguay,URY,73,19
USA,USA,73,19
