"Country","FIFA Rank 2014","GDP/cap","GDP","Popl","WC Gini","GDP Billion USD","Population"
"Spain","23","33","14","28","22","1391.4","47737941"
"Germany","1","15","5","16","32","3232.6","80996685"
"Brazil","4","79","7","5","3","2423.3","202656788"
"Portugal","18","46","51","83","16","244.8","10813834"
"Argentina","2","55","22","32","11","778.0","43024374"
"Switzerland","11","7","35","98","26","371.6","8061516"
"Uruguay","12","60","88","135","9","56.7","3332972"
"Colombia","5","85","28","27","2","527.6","46245297"
"Italy","22","31","11","24","20","1807.8","61680122"
"England","26","21","8","22","24","2390.9","53012456"
"Belgium","6","20","32","75","27","422.8","10449361"
"Greece","13","42","48","79","23","265.6","10775557"
"USA","15","6","1","3","10","16799.7","318892103"
"Chile","9","54","41","60","4","334.8","17363894"
"Netherlands","3","12","23","64","30","700.5","16877351"
"France","7","23","9","20","28","2278.0","66259012"
"Croatia","19","57","79","128","25","77.9","4470534"
"Russia","24","58","6","9","14","2556.2","142470272"
"Mexico","10","66","10","11","8","1842.6","120286655"
"Bosnia","20","100","105","130","19","32.1","3871643"
"Algeria","14","105","44","33","21","285.5","38813722"
"Ivory Coast","21","158","95","53","13","43.8","22848945"
"Ecuador","17","89","58","67","6","159.0","15654411"
"Costa Rica","8","76","85","120","5","61.6","4755234"
"Honduras","31","127","101","94","1","39.2","8598561"
"Ghana","25","138","74","49","12","88.5","25758108"
"Iran","28","78","18","17","17","945.5","80840713"
"Nigeria","16","143","30","7","7","479.3","177155754"
"Japan","29","22","4","10","18","4698.8","127103388"
"South Korea","27","27","12","26","29","1666.8","49039986"
"Cameroon","32","149","91","56","15","53.3","23130708"
"Australia","30","10","17","51","31","999.6","22507617"
