"country","code","region","year","percRD","GDP","researchers"
"Albania","ALB","Europe & Central Asia","2008",0.15308,12881352687.7775,147.94362
"Algeria","DZA","Middle East & North Africa","2005",0.06604,103198650297.779,164.68938
"Argentina","ARG","Latin America & Caribbean","1997",0.41959,354757527500,694.96944
"Argentina","ARG","Latin America & Caribbean","1998",0.41131,362133800000,703.94526
"Argentina","ARG","Latin America & Caribbean","1999",0.45337,343448277500,712.15431
"Argentina","ARG","Latin America & Caribbean","2000",0.43884,344272910000,715.92965
"Argentina","ARG","Latin America & Caribbean","2001",0.42461,325488360000,688.32
"Argentina","ARG","Latin America & Caribbean","2002",0.38886,123607470068.633,693.18899
"Argentina","ARG","Latin America & Caribbean","2003",0.41013,156988741752.415,720.74542
"Argentina","ARG","Latin America & Caribbean","2004",0.43756,183295704305.31,769.30147
"Argentina","ARG","Latin America & Caribbean","2005",0.46077,222907566120.932,824.5736
"Argentina","ARG","Latin America & Caribbean","2006",0.49462,264489701813.206,898.7168
"Argentina","ARG","Latin America & Caribbean","2007",0.50793,329761480066.765,983.46467
"Argentina","ARG","Latin America & Caribbean","2008",0.52381,406003733832.97,1046.54988
"Argentina","ARG","Latin America & Caribbean","2009",0.5951,378496221140.697,1092.27944
"Argentina","ARG","Latin America & Caribbean","2010",0.61745,462703793707.187,1178.47466
"Argentina","ARG","Latin America & Caribbean","2011",0.64696,557727273772.913,1235.97963
"Australia","AUS","East Asia & Pacific","1996",1.65987,401579666160.85,3328.46049
"Australia","AUS","East Asia & Pacific","1998",1.51324,399523163535.237,3344.82567
"Australia","AUS","East Asia & Pacific","2000",1.57349,415208189411.543,3426.97482
"Australia","AUS","East Asia & Pacific","2002",1.75,394442235244.872,3711.61004
"Australia","AUS","East Asia & Pacific","2004",1.85759,613161189358.372,4015.70721
"Australia","AUS","East Asia & Pacific","2006",2.18873,747463312368.973,4179.1787
"Australia","AUS","East Asia & Pacific","2008",2.40778,1055506156996.89,4280.36005
"Austria","AUT","Europe & Central Asia","1998",1.77157,213329585371.276,2336.70631
"Austria","AUT","Europe & Central Asia","2002",2.12412,207537336721.25,2981.30059
"Austria","AUT","Europe & Central Asia","2004",2.23663,291430382497.377,3167.91195
"Austria","AUT","Europe & Central Asia","2005",2.4587,304983601949.958,3455.63399
"Austria","AUT","Europe & Central Asia","2006",2.43928,324954469985.96,3527.5237
"Austria","AUT","Europe & Central Asia","2007",2.50632,375042040683.649,3811.07393
"Austria","AUT","Europe & Central Asia","2008",2.66957,414171244876.612,4136.62987
"Austria","AUT","Europe & Central Asia","2009",2.70782,383733551535.805,4140.57533
"Austria","AUT","Europe & Central Asia","2010",2.79846,377679836476.596,4312.41701
"Austria","AUT","Europe & Central Asia","2011",2.76578,415984217114.769,4401.07721
"Austria","AUT","Europe & Central Asia","2012",2.83639,394457535617.266,4564.93825
"Belgium","BEL","Europe & Central Asia","1996",1.7645,275796742671.01,2466.90142
"Belgium","BEL","Europe & Central Asia","1997",1.83103,249766576454.668,2573.28897
"Belgium","BEL","Europe & Central Asia","1998",1.85932,255599022004.89,2699.04047
"Belgium","BEL","Europe & Central Asia","1999",1.93301,254503515874.707,2902.77843
"Belgium","BEL","Europe & Central Asia","2000",1.96558,232672747374.24,2974.14393
"Belgium","BEL","Europe & Central Asia","2001",2.06825,232485906040.268,3129.52181
"Belgium","BEL","Europe & Central Asia","2002",1.93609,252795031055.901,2966.26192
