"year","natIncome_bill","privWealth_bill","natIncome2010bill","privWealth2010bill","perCapitaNatIncome","perCapitaPrivWealth","perAdultNatIncome","perAdultPrivWealth","perCapitaNatIncome2010gbp","perCapitaPrivWealth2010gbp","perAdultNatIncome2010gbp","perAdultPrivWealth2010gbp","ratioPrivWealthNatIncome","ratioDisposIncomeNatIncome","perAdultDisposIncome_2010gbp","ratioPrivWealthDisposIncome","population_thousands","adultPopulation_20_yr","employedPopulation"
1855,0.7,5,54,408,24,180,45,338,1940,14665,3641,27529,756,NA,NA,NA,27822,14821,"11760"
1856,0.7,5.2,56.6,419.6,25,184,47,345,2020,14981,3792,28123,742,NA,NA,NA,28011,14922,"11890"
1857,0.7,5,58.3,430,24,178,45,335,2069,15256,3884,28639,737,NA,NA,NA,28187,15016,"11910"
1858,0.7,4.7,63.1,439.7,24,165,44,309,2224,15488,4175,29074,696,NA,NA,NA,28390,15124,"11610"
1859,0.7,4.7,66.6,450.7,24,166,46,311,2328,15762,4370,29588,677,NA,NA,NA,28591,15231,"12280"
1860,0.7,5,66.9,462.6,25,175,47,328,2324,16074,4362,30174,692,NA,NA,NA,28778,15331,"12450"
1861,0.8,5.3,68.8,474.1,26,182,49,341,2373,16363,4454,30717,690,NA,NA,NA,28976,15436,"12320"
1862,0.8,5.3,72.1,485.9,27,181,51,343,2466,16615,4683,31552,674,NA,NA,NA,29245,15400,"12120"
1863,0.8,5.2,77.5,498.3,28,178,53,338,2631,16908,4996,32109,643,NA,NA,NA,29471,15519,"12390"
1864,0.8,5.3,81.2,513.8,28,180,54,342,2737,17311,5197,32875,633,NA,NA,NA,29681,15629,"12850"
1865,0.9,5.6,83.3,531.1,29,187,56,355,2783,17746,5286,33702,638,NA,NA,NA,29925,15758,"12960"
1866,0.9,6.1,80.8,550.2,30,203,57,385,2682,18251,5093,34660,681,NA,NA,NA,30148,15875,"12960"
1867,0.9,6.7,75,568,29,221,55,419,2465,18679,4682,35473,758,NA,NA,NA,30409,16013,"12570"
1868,0.9,6.8,75.8,585,29,223,55,423,2469,19062,4689,36199,772,NA,NA,NA,30690,16161,"12600"
1869,0.9,6.7,82.5,601.3,30,216,56,409,2662,19410,5056,36861,729,NA,NA,NA,30978,16312,"12810"
1870,1,6.9,88.9,617.9,32,220,60,417,2845,19767,5403,37539,695,NA,NA,NA,31257,16459,"13200"
1871,1.1,7.2,94.6,637.2,34,227,65,436,2999,20193,5762,38802,673,NA,NA,NA,31556,16423,"13580"
1872,1.1,7.7,96.7,661,35,242,68,467,3034,20737,5848,39968,683,NA,NA,NA,31874,16538,"13770"
1873,1.2,8.3,99.3,684.5,38,259,72,499,3085,21274,5946,41003,690,NA,NA,NA,32177,16695,"13860"
1874,1.2,8.3,100.9,707.5,36,255,70,491,3105,21768,5984,41955,701,NA,NA,NA,32501,16863,"13880"
1875,1.2,8.2,101.9,714.8,36,249,69,481,3103,21768,5981,41954,701,NA,NA,NA,32839,17039,"13900"
1876,1.2,8.3,100.6,720.5,35,249,67,479,3031,21702,5842,41827,716,NA,NA,NA,33200,17226,"13820"
1877,1.1,8.2,100.9,724.5,34,245,66,472,3006,21579,5793,41589,718,NA,NA,NA,33576,17421,"13770"
1878,1.1,8.1,100.2,726.4,33,238,63,458,2952,21408,5690,41261,725,NA,NA,NA,33932,17606,"13590"
1879,1.1,7.7,102.2,727.9,32,226,61,435,2980,21219,5743,40897,712,NA,NA,NA,34304,17799,"13040"
1880,1.1,8,102.9,728.3,33,231,63,446,2972,21036,5729,40543,708,NA,NA,NA,34623,17964,"13950"
1881,1.2,8,107.8,731.2,34,228,65,440,3086,20931,5967,40464,678,NA,NA,NA,34935,18071,"14300"
1882,1.2,8.1,110.5,734.2,34,229,65,435,3138,20856,5954,39574,665,NA,NA,NA,35206,18554,"14626"
1883,1.2,8,110.3,737.8,34,226,64,429,3113,20811,5906,39489,669,NA,NA,NA,35450,18682,"14740"
1884,1.2,7.9,110,741.7,33,221,62,419,3080,20762,5845,39396,674,NA,NA,NA,35724,18827,"14040"
1885,1.2,7.7,112.2,749.2,32,214,61,406,3114,20803,5910,39473,668,NA,NA,NA,36015,18980,"14000"
1886,1.2,7.8,115.8,770.4,32,216,62,409,3188,21214,6048,40254,666,NA,NA,NA,36313,19137,"13990"
1887,1.2,8,121.7,792.1,33,218,63,413,3324,21643,6307,41068,651,NA,NA,NA,36598,19287,"14530"
1888,1.3,8.3,128,817.2,35,225,67,428,3470,22157,6584,42042,639,NA,NA,NA,36881,19437,"15100"
1889,1.4,8.7,135,843.1,37,233,71,443,3632,22679,6893,43033,624,NA,NA,NA,37178,19593,"15720"
1890,1.4,9,138.1,870.1,38,239,72,453,3684,23211,6991,44043,630,NA,NA,NA,37485,19755,"15880"
1891,1.4,9.4,133.9,898.8,37,247,69,461,3541,23778,6597,44300,671,NA,NA,NA,37802,20290,"15810"
1892,1.4,9.6,131.2,925.6,36,253,66,468,3440,24272,6373,44971,706,NA,NA,NA,38134,20582,"15530"
1893,1.4,9.8,133.3,950.6,36,254,66,468,3464,24697,6383,45509,713,NA,NA,NA,38490,20888,"15500"
1894,1.5,9.9,143.9,975.2,38,255,69,468,3704,25095,6787,45989,678,NA,NA,NA,38859,21204,"15780"
1895,1.5,10.1,149.4,1003.3,38,257,70,469,3808,25580,6941,46623,672,NA,NA,NA,39221,21519,"16150"
1896,1.5,10.3,155.2,1032.2,39,259,71,470,3918,26067,7103,47255,665,NA,NA,NA,39599,21844,"16760"
1897,1.6,10.8,156.7,1063.2,40,270,72,488,3919,26590,7066,47943,679,NA,NA,NA,39987,22177,"16950"
1898,1.7,11.1,165,1093.9,42,276,75,494,4085,27089,7326,48584,663,NA,NA,NA,40381,22516,"17230"
1899,1.8,11.6,172,1129,43,285,77,508,4219,27689,7526,49396,656,NA,NA,NA,40773,22856,"17560"
1900,1.8,12.6,169.5,1169.5,44,306,78,540,4118,28417,7269,50160,690,NA,NA,NA,41155,23315,"17530"
1901,1.8,12.8,167.7,1186.9,43,307,76,540,4037,28575,7099,50242,708,NA,NA,NA,41538,23625,"17550"
1902,1.8,13,170.4,1204.1,44,309,77,541,4067,28743,7124,50339,707,NA,NA,NA,41893,23920,"17610"
1903,1.8,13.3,166.2,1219,43,314,75,547,3934,28855,6862,50338,734,NA,NA,NA,42246,24216,"17720"
1904,1.8,13.4,165.3,1231.6,42,314,73,546,3880,28903,6743,50227,745,NA,NA,NA,42611,24521,"17640"
1905,1.9,13.5,172.6,1243.5,44,315,76,545,4016,28931,6952,50081,720,NA,NA,NA,42981,24830,"18000"
1906,2,13.7,182.1,1257.9,46,315,79,544,4199,29010,7241,50024,691,NA,NA,NA,43361,25146,"18440"
1907,2.1,14,188.9,1275.2,47,320,82,550,4319,29156,7418,50083,675,NA,NA,NA,43737,25462,"18600"
1908,2,14.2,180.2,1292.3,45,322,77,551,4085,29287,6990,50116,717,NA,NA,NA,44124,25786,"17960"
1909,2,14.5,181.1,1302.5,45,325,77,554,4069,29257,6936,49873,719,NA,NA,NA,44520,26117,"18140"
1910,2.1,14.8,187.7,1319,47,330,80,560,4179,29365,7097,49868,703,NA,NA,NA,44916,26449,"18890"
1911,2.2,15,195.3,1333.8,48,331,82,558,4314,29466,7283,49744,683,NA,NA,NA,45268,26814,"19390"
1912,2.3,15.7,199,1352.5,51,345,85,578,4381,29767,7352,49959,680,NA,NA,NA,45436,27072,"19490"
1913,2.4,15.7,207.8,1370.6,52,344,87,574,4552,30025,7595,50100,660,NA,NA,NA,45649,27357,"19910"
1914,2.5,13.4,214,1173.1,53,292,88,484,4647,25476,7709,42264,548,NA,NA,NA,46049,27757,"19440"
1915,2.9,13.2,227.4,1024.8,63,284,104,469,4908,22114,8095,36477,451,NA,NA,NA,46340,28094,"18400"
1916,3.6,14,234,918.3,76,300,125,492,5031,19742,8251,32379,392,NA,NA,NA,46514,28361,"17700"
1917,4.2,16.1,218.8,843.3,89,345,146,562,4695,18091,7656,29501,385,NA,NA,NA,46614,28584,"17100"
1918,4.8,18.2,205.7,783.8,103,392,167,635,4417,16830,7163,27290,381,NA,NA,NA,46575,28722,"17060"
1919,5.2,18,201.3,704.2,111,388,179,625,4325,15133,6974,24402,350,NA,NA,NA,46534,28859,"19030"
NA,5.4,18.3,183.2,617.7,116,390,186,626,3912,13193,6274,21155,337,NA,NA,NA,46821,29200,"20810"
NA,5.2,17.7,177.4,598.1,120,405,192,649,4057,13681,6506,21937,337,NA,NA,NA,43718,27265,"19537"
1921,4.3,17.4,159.2,643.5,98,394,155,627,3613,14602,5748,23230,404,NA,NA,NA,44072,27703,"17417"
1922,4.1,17.6,175.8,755.6,92,396,145,625,3961,17030,6253,26882,430,NA,NA,NA,44372,28110,"17483"
1923,4,18.2,184.8,832.8,91,408,142,640,4144,18674,6491,29250,451,NA,NA,NA,44596,28472,"17758"
1924,4.1,19.4,190.7,890.4,92,431,144,670,4245,19824,6599,30813,467,NA,NA,NA,44915,28897,"18032"
1925,4.2,19.8,195.4,909.3,94,439,145,677,4336,20181,6688,31129,465,NA,NA,NA,45059,29212,"18238"
1926,4.1,20.1,191.4,928.6,92,444,140,680,4231,20531,6477,31429,485,NA,NA,NA,45232,29547,"18244"
1927,4.4,20.9,210.7,995,98,461,148,701,4642,21922,7052,33307,472,NA,NA,NA,45389,29874,"18789"
1928,4.5,20.7,212.4,984.2,98,454,148,685,4661,21594,7029,32566,463,NA,NA,NA,45578,30223,"18868"
1929,4.5,19.8,217.3,951.4,99,434,148,649,4758,20830,7123,31182,438,NA,NA,NA,45672,30510,"19146"
1930,4.3,19,213,937,94,413,140,614,4644,20428,6901,30356,440,NA,NA,NA,45866,30866,"18788"
1931,4.1,19.4,208.9,1002,88,422,130,623,4533,21747,6692,32105,480,NA,NA,NA,46074,31210,"18340"
1932,4,21.7,211.5,1145.5,86,468,127,687,4564,24721,6695,36259,542,NA,NA,NA,46335,31591,"18430"
1933,4.2,23.7,226.3,1281.2,90,509,131,741,4865,27540,7089,40133,566,NA,NA,NA,46520,31923,"18813"
1934,4.4,25.1,239.4,1360.6,95,539,137,780,5129,29156,7427,42216,568,NA,NA,NA,46666,32230,"19360"
1935,4.6,26.5,248.8,1422.9,99,564,142,812,5309,30359,7638,43679,572,NA,NA,NA,46868,32576,"19704"
