"year","nationalIncome_bill","privateWealth_bill","nationalIncome2010bill","privateWealth2010bill","natIncomePerCapita","privWealthPerCapita","natIncomePerAdult","privWealthPerAdult","natIncomePerCapita2010usd","privWealthPerCapita2010usd","natIncomePerAdult2010usd","priWealthPerAdult2010usd","ratioPrivWealthNatIncome","ratioDisposIncomeNatIncome","perAdultDisposIncome2010usd","ratioPrivWealthDisposIncome","population_thousands","adultPopulation_20_yr","employedPopulation_civilians"
1869,7.6,NA,111,NA,194,NA,374,NA,2835,NA,5453,NA,NA,90,4930,NA,39051,20304,NA
1870,7.8,33,119,502,195,820,375,1578,2987,12584,5745,24203,421,90,5195,466,39905,20748,"12506"
1871,8,34,125,527,196,829,376,1591,3045,12874,5843,24702,423,90,5283,468,40938,21336,NA
1872,8.1,35,129,554,193,827,369,1584,3076,13193,5889,25255,429,90,5324,474,41972,21926,NA
1873,8.4,36,136,580,196,837,374,1599,3154,13476,6024,25736,427,90,5447,472,43006,22519,NA
1874,8.1,37,135,609,185,836,352,1592,3056,13832,5823,26353,453,90,5265,501,44040,23115,NA
1875,8.2,37,142,640,182,821,346,1560,3146,14194,5980,26979,451,90,5407,499,45073,23713,NA
1876,8,37,144,671,173,809,328,1534,3112,14551,5902,27594,468,90,5336,517,46107,24314,NA
1877,8.1,39,149,706,173,820,327,1551,3157,14978,5974,28337,474,90,5401,525,47141,24917,NA
1878,8,38,155,741,165,791,312,1493,3219,15385,6076,29040,478,90,5494,529,48174,25523,NA
1879,8.7,39,174,780,177,791,333,1490,3540,15854,6666,29855,448,90,6027,495,49208,26131,NA
1880,10.2,43,195,815,203,850,382,1597,3875,16209,7281,30454,418,90,6583,463,50262,26753,"17392"
1881,10.5,44,202,849,204,859,383,1611,3911,16463,7331,30859,421,90,6629,466,51542,27498,NA
1883,11.2,47,217,914,206,870,385,1623,4007,16903,7475,31537,422,90,6759,467,54100,28996,NA
1884,10.9,47,221,949,196,842,365,1568,3989,17129,7425,31885,429,90,6714,475,55379,29750,NA
1885,10.7,47,222,984,188,834,350,1549,3924,17370,7288,32260,443,90,6589,490,56658,30506,NA
1886,11,49,229,1019,190,844,352,1564,3952,17580,7323,32576,445,90,6621,492,57938,31267,NA
1887,11.3,50,235,1052,190,853,352,1576,3967,17759,7333,32832,448,90,6631,495,59217,32030,NA
1888,11.4,53,234,1091,188,880,348,1623,3863,18032,7125,33261,467,90,6442,516,60496,32797,NA
1889,12.1,55,248,1126,196,891,362,1639,4021,18227,7400,33544,453,90,6690,501,61775,33566,NA
1890,12,56,252,1165,191,881,350,1618,3998,18482,7340,33937,462,90,6637,511,63056,34340,"23318"
1891,12.4,58,260,1208,193,895,353,1640,4039,18775,7399,34398,465,90,6690,514,64361,35130,NA
1892,12.9,59,274,1255,197,900,359,1645,4174,19106,7630,34924,458,90,6898,506,65666,35924,NA
1893,12.9,62,274,1303,193,919,353,1676,4093,19454,7464,35481,475,90,6749,526,66970,36719,NA
1894,11.9,61,266,1352,174,886,317,1613,3895,19808,7088,36045,509,90,6409,562,68275,37519,NA
1895,13.1,62,297,1405,188,889,342,1614,4273,20193,7757,36663,473,90,7014,523,69580,38322,NA
1896,12.8,64,291,1458,181,908,328,1646,4101,20574,7429,37273,502,90,6717,555,70885,39128,NA
1897,13.6,66,312,1514,188,913,339,1649,4316,20976,7801,37916,486,90,7053,538,72189,39937,NA
1898,14.1,69,319,1568,191,941,345,1697,4337,21336,7822,38480,492,90,7072,544,73494,40750,NA
1899,15.9,73,356,1635,213,980,383,1763,4755,21861,8557,39340,460,90,7737,508,74799,41566,NA
1900,16.6,78,363,1705,218,1024,391,1840,4768,22406,8561,40231,470,90,7741,520,76094,42379,"26956"
1901,18.7,81,407,1769,241,1049,432,1876,5248,22805,9389,40800,435,90,8489,481,77584,43365,"27948"
1902,19.5,86,419,1838,247,1083,440,1930,5290,23214,9431,41383,439,90,8527,485,79163,44406,"28807"
1903,20.6,91,431,1911,256,1135,454,2015,5339,23698,9485,42095,444,90,8576,491,80632,45392,"29494"
1904,21.6,96,447,1988,263,1168,465,2067,5443,24190,9634,42817,444,90,8711,492,82166,46421,"29750"
1905,23.6,100,487,2064,281,1190,496,2099,5816,24626,10257,43433,423,90,9274,468,83822,47525,"30918"
1906,25.3,107,508,2148,297,1254,521,2205,5945,25136,10448,44176,423,90,9446,468,85450,48620,"32638"
1907,25.8,117,496,2235,297,1339,520,2345,5697,25690,9978,44991,451,90,9022,499,87008,49681,"33238"
1908,23.9,118,469,2312,270,1329,470,2320,5283,26061,9219,45481,493,90,8336,546,88710,50831,"32136"
1909,26.7,122,523,2386,295,1347,514,2342,5784,26363,10059,45848,456,90,9095,504,90490,52033,"33897"
1910,28,122,562,2458,302,1324,524,2294,6077,26597,10532,46094,438,90,9522,484,92407,53321,"34559"
1911,28.8,135,543,2537,307,1433,529,2475,5780,27024,9982,46670,468,90,9025,517,93863,54350,"34960"
1912,31,142,570,2617,325,1492,560,2568,5983,27456,10297,47252,459,90,9310,508,95335,55394,"36173"
1913,32.5,148,593,2689,334,1518,574,2603,6096,27657,10455,47435,454,90,9453,502,97225,56687,"37004"
1914,30.5,154,548,2764,307,1550,525,2650,5530,27889,9451,47668,504,90,8545,558,99111,57986,"36281"
1915,32.3,161,568,2834,322,1604,548,2732,5654,28188,9630,48014,499,90,8707,551,100546,59028,"36223"
1916,40.9,182,660,2944,401,1790,681,3038,6476,28873,10994,49014,446,90,9940,493,101961,60063,"38014"
1917,49.3,197,664,2655,477,1907,809,3234,6431,25705,10902,43578,400,90,9857,442,103268,60914,"38175"
1918,62.3,219,715,2517,604,2127,1031,3629,6926,24389,11819,41621,352,90,10687,389,103208,60477,"38540"
1919,69.1,263,694,2648,661,2521,1118,4266,6642,25336,11240,42877,381,90,10163,422,104514,61758,"39150"
1920,78,281,679,2445,733,2637,1236,4449,6382,22967,10764,38740,360,90,9733,398,106461,63117,"39208"
1921,65.5,265,656,2651,604,2441,1018,4116,6041,24421,10187,41184,404,90,9211,447,108538,64360,"37061"
1922,66.1,268,712,2887,601,2436,1013,4110,6467,26231,10908,44249,406,90,9863,449,110049,65237,"39637"
1923,77.5,283,811,2959,693,2526,1166,4253,7248,26435,12202,44502,365,90,11032,403,111947,66498,"42395"
