"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","15.834196369121","21.2608056842657","20.1069410228998","20.9261042279001","17.82626378517","16.8222447142506","14.22482628079","20.3840290081998","19.9556566271436","19.9630642352265","19.1593948140793","16.6165495845697","17.6234054770716","17.0652488118416","20.307574107072","19.8912888219892","20.3842360205843","22.0179649033579","22.1032510621213","25.4803884173733","25.4828610894249","24.0980759316387","24.9646618214416","24.4396830159153","22.6215623675069","23.1742007297013","23.3851685250933","21.5076266312227","23.8705109786366","24.1816278777325","25.4041917003197","26.6195039764995","29.8567781480719","32.0412432548578","26.9971363206295","29.2635471630684","32.0270513202719","34.977279901991","38.5247205484563","40.1883318594056","39.2790342692919","","",
"Albania","ALB","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","74.6607032875427","77.1741106583994","74.3666339192289","75.3974630495873","75.7464247641652","76.1939197382069","75.8818779112211","78.0247036369265","75.0118130475276","80.9287927914084","78.0379104914866","77.836534442498","78.8759441227688","81.0974774748578","81.4337623759461","77.0583127402526","78.6375113710156","80.3814035334453","79.6938123131685","76.5939750800565","69.8249960719512","56.079290645733","53.4789779579446","54.8469148031933","49.5416411855723","45.453763744009","41.4493402366839","44.0945225488965","57.1696779014208","58.0171797316142","59.9724819682853","62.5053868151022","64.6380906503884","65.675168272297","66.5700926061463","63.6458494002672","65.2155380201995","63.2520602929245","62.0669683432925","62.0294856546758","60.5268958471864","","",
"Región Andina","ANR","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","83.2420682783407","83.9333949324884","85.4349245374649","86.2444033128264","86.5112931516995","87.4740531723767","88.0553371635772","89.3153996423149","90.7316167485885","91.7452148292566","91.9574325438006","92.6099715310168","93.5737525129585","93.6016720782467","93.1682853783491","93.5633705248563","93.9637972124628","94.537895046378","94.6499695260028","94.0476589333729","93.3264789983286","94.5000181642235","94.7663929476954","94.451525206142","95.2437444701935","94.9673792938385","95.1626697007525","95.1203621649528","94.8333055312755","95.2819463157069","95.2235939071512","95.5456007928798","95.5024690902661","95.7401220380033","95.9495536042544","96.1459938448764","96.4691779860766","96.1490149114931","96.4636725490758","95.9118630495205","96.0702640810617","","",
"Emiratos Árabes Unidos","ARE","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","100","100","100","100","100","100","100","100","99.999982044277","99.9999861727232","100.000011272649","100.000010344628","99.9999892637833","99.9999917201113","100","100","100","100","100","100","100.000004257515","99.8552217089787","99.8873714104129","99.9096443670454","99.9149675375092","99.9435547224081","99.9428229489652","99.947226432446","99.9481215884747","99.950156624096","99.9547137073159","99.9583027709731","99.957899873508","99.9408834725368","99.9353383697266","99.9294956755031","99.9278159152304","100.877920012277","100.881574767445","100.924843016215","100.97000661581","","",
"Argentina","ARG","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","92.8858397496975","93.2661759255111","93.3759201546536","91.5375215104199","91.6517338452845","92.1293536798829","92.3805957050109","90.9466192931959","91.3687327199146","90.2773446692161","90.0188342087139","90.4455774940092","89.1551442939284","88.4606883504532","87.1538954661516","88.4537918319815","88.1618304833156","90.1840621158634","91.3792509919561","88.6551451007401","88.8555803445175","88.8102902760179","87.6507376172407","87.0407139729247","87.0903167896306","87.5989775161357","87.0515960298834","86.844041005034","88.1977142211901","88.2726549527848","85.820014162583","85.4125017809048","85.5772130660241","89.4487439559664","89.0616277513606","88.7032468825785","89.5339571088088","90.6677565216801","89.6886085998727","89.4579603397222","89.6669669699133","","",
"Armenia","ARM","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.0440551837946","96.5165669381002","92.7192848878746","82.0637673121603","76.968403123853","84.2510636202063","57.650823952163","70.6360975745997","72.1261074932223","65.2516387031746","70.0489923558026","71.1767448005604","61.8060966393765","65.7106212999384","66.9014276132531","68.0984178691466","67.4958082381311","70.5525640010011","73.2855474181392","68.2042039556815","67.3972383175387","71.5412624263733","","",
