"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","-136.789917179727","-153.693308526423","-182.757279174801","-187.075366914788","-176.525498954844","-173.974390517597","-166.830016687007","-130.490939691978","-145.520957591765","-147.653491946298","-124.340308114205","-129.536934935785","-177.162712311364","-203.69559765004","-215.487057463691","-263.269770887141","-331.783550046493","-403.089252529376","-394.395232764759","-387.018022299596","-397.266037863952","-440.718544685688","-386.724353281047","-418.093192540974","-469.11682086203","-500.340959652253","-509.570053158573","-527.239666971871","-501.618523079063","-483.400486704699","-452.403826882554","-520.812862175273","-471.961250399005","-497.250411780397","-660.117653270764","-701.804622801285","-791.113948666547","-815.671114118263","-704.653685397836","-639.491311425916","-578.837041892481","","",
"Albania","ALB","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","-41.6994116955347","-53.6342346880178","-72.518525326366","-49.2182729217977","-47.1951746887382","-41.3904654424333","-37.4069647498638","-34.8533228785624","-50.5439748153341","-12.2582455738246","-0.076429152845332","1.12902956141801","0.851841942518857","-2.26409505682723","-3.81586152482845","-3.31119577155409","-2.51956377512792","0.420610677858244","-0.656852072641821","7.9650583526857","-2.78362383080424","-3.37625065068072","-0.0977559707408288","9.33073227807364","6.63591634528518","6.29130250916267","8.69985703820492","16.6226723052943","38.720022444697","44.0727544110467","50.4719740682095","51.3766192728217","48.8987479608318","45.9068284683986","47.6905542467269","40.8476378403913","47.9166337384817","44.043734885039","39.473758001199","21.2123434330386","31.6006819734896","","",
"Región Andina","ANR","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","-1490.04884822466","-1555.31653318078","-1600.75278177359","-1475.93241038777","-1246.9590011522","-1299.68468651161","-1213.19809821744","-1029.36045553866","-974.25230078677","-799.93693925122","-573.39605611014","-378.758133509013","-308.359822930441","-308.639335998786","-259.740774443281","-305.280491820095","-277.832408317163","-298.298487489509","-302.750023754381","-332.080639667063","-315.846301723291","-307.180917845831","-301.388894741879","-281.554672650647","-277.811114940918","-268.177666119194","-276.746629690573","-290.423209583211","-281.350619849881","-293.120922869705","-268.620541353536","-234.929603474212","-250.54510684332","-241.486960162447","-241.74169341049","-230.23759444418","-224.290057272615","-218.537136262225","-180.589913879316","-174.099587277409","-185.180060544157","","",
"Emiratos Árabes Unidos","ARE","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","-5116.127119649","-5588.7293218204","-5734.55040638071","-6106.88421843755","-4258.01668326115","-3842.63742265398","-2365.80416743967","-1883.33713113701","-1612.65153059072","-1147.41413330214","-829.979227888895","-634.534010189252","-611.182982924691","-432.410423816868","-362.228359601674","-369.883003129503","-363.066417957467","-371.659482382113","-393.384174845835","-439.553111532586","-441.926854026259","-499.196571731654","-458.344879858301","-412.653231500643","-394.967458765432","-354.216507637889","-376.723725826875","-370.761391269686","-337.702300584786","-360.764590139207","-307.673332877107","-267.132050787028","-306.396215984896","-304.427360401433","-303.299424799708","-303.25098796774","-256.886921181975","-220.515380430491","-178.216011274484","-179.388449582104","-187.588686275941","","",
"Argentina","ARG","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","9.20199793415314","9.46260194257426","14.2582961945781","14.9526368595988","14.7762480249717","16.5287770495155","14.4120445766053","12.792436080043","11.5826736981591","7.1886265081952","3.38938864538568","2.6555484984442","-0.470961658867593","0.915325443853888","-2.93736910361858","2.2971174636705","6.38285346750972","3.34967238837595","-1.57735494330777","-5.08618428286463","-5.7466371175764","-8.73914556890633","-14.0492498883585","-16.7762266029396","-23.7610136581241","-29.5754535094505","-32.3592019529394","-32.6228855640239","-32.5113732050733","-34.9622214431269","-46.081832618533","-46.8531794027365","-42.7128333970563","-29.4592273336406","-26.4463514159739","-17.864962935953","-12.4664831339869","-6.05017359087868","-6.56274693518089","-1.70415233933433","3.58656169309419","","",
"Armenia","ARM","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.0705002296298","98.1804916179142","93.3084975367967","82.5109211533322","77.0682903970392","84.3189820864285","57.650767805508","70.3727555097466","70.4979784178239","64.1211544062544","68.0725205996227","69.5860141742844","60.1836090595818","64.5125697992698","63.8140498530854","65.4283630828704","66.4505059427263","70.7846830848914","73.2168411563823","68.1053923766043","64.6472749649232","67.3360587680608","","",
"Samoa Americana","ASM","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","32.3254743223586","30.9800728633274","32.8359801591921","34.465919388233","32.1965794745157","28.2691498606497","28.4240417530055","28.3390879819651","21.9589879082204","16.7834679512346","6.14993351381748","-4.33555030976189","-17.4075132973397","-19.156857771308","-14.5479475393857","-24.1536323848913","-21.7158383397846","-24.062550282939","-22.7956957315391","-27.2748659579095","-22.7121625038292","-38.697961761871","-34.8646392301429","-53.2681748491756","-63.6997760058111","-75.8494940222604","-84.3881860359729","-92.1288459272853","-73.3597824748086","-72.1792113908031","-82.6858760267492","-96.1232779751828","-98.4645287914154","-91.8637060499165","-90.0733677557938","-101.922695232315","-91.7746552175148","-98.4549196039997","-108.285258946664","-101.089378619435","-116.032471438486","-135.626367485038","-132.105880376739","-127.782001363435","-125.554727150832","-133.61524219706","-131.764501129693","-138.061649596419","-130.585032850933","-137.954522045668","-151.871412792928","-141.461086411993","-135.405972084809","",
"Austria","AUT","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","32.4756743344108","35.3275538858351","39.0302969741356","40.7958501433877","42.5542763749475","40.6186794670954","41.4782888562162","44.9852566828147","50.1825236113967","54.6520294947912","55.9555823915878","60.8522211609006","63.0034818036119","63.1261720120723","62.3311671089515","61.2109006775611","66.6400432490688","63.782336672257","64.2218772472718","66.2100268168831","67.0400028055384","66.1890403192028","65.0547925369893","66.0391979620844","67.0817625303135","67.242415796798","66.93517754904","66.4928764386909","62.1936660191331","63.9625892043527","67.2947995097815","68.3445976722614","66.2199583079021","65.7717894884313","67.1078625188123","67.2470549949194","69.5124667614783","69.2010085468857","69.1225425348352","66.0039239389487","65.7512978042815","67.5514148407542","67.7199216415662","70.1901477572856","69.6621147968826","70.5142016734158","69.9900820360767","67.3738643515325","66.5138509541664","63.8795810730444","64.4495488764574","65.1548858200722","61.555680905604","",
"Azerbaiyán","AZE","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.32727246732362","15.5904054068921","2.80620862500548","1.34394176753247","-1.05696464651107","-6.02917958411609","-22.5745735659617","-24.6626228906671","-37.8044742779943","-72.7675240761558","-66.5086799166371","-71.1991998338434","-70.9619131631921","-63.246602327593","-56.9204375385932","-102.974923715035","-185.407707644942","-330.681931599218","-340.443384544457","-441.154204504349","-465.474312256097","-377.340504999996","","",
"Burundi","BDI","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bélgica","BEL","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","39.3009760053886","43.1378886285588","48.9344546884291","52.754451409616","53.1189358044977","58.1069450517343","62.4202761480819","66.2743571105316","73.1663306196177","77.9115106775228","82.1657081322946","82.741679856434","84.8831229260289","85.8472554379125","86.3534236260417","81.1792193879258","80.8742246453197","79.9220766923657","82.5772367670337","84.4561222387034","82.6962160965688","81.2207174036254","78.1374931852476","73.2625313601821","71.6510530596167","68.3553154333739","67.8525883873266","68.9666167103415","71.5590511513999","72.8188576910998","72.8584220193275","74.3503878923765","75.1250242990274","75.7777715818863","78.0136697456661","77.8023973475812","78.2233243770428","76.4065932328782","77.3006699957928","76.0971996694754","76.5264906795413","77.1804081216877","76.058231997287","76.879424306293","76.6569817239615","76.3035152640199","76.3022968918472","74.7997058595381","75.179316945862","73.1725850967122","73.6579990170809","69.1841852508394","71.2787900368955","",
"Benin","BEN","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","9.29737967633745","11.6974050502764","11.8140451481397","11.950985934612","12.695668396649","8.13761485389845","9.43184949282002","10.9072327201567","10.3839837642974","10.4228309489483","-8.0545193453472","-7.6539772076509","7.60653239947021","8.73590484282073","-10.4433629098754","-14.3412311197356","-11.7415699381153","-6.64121779223297","-5.49950310871638","-6.75705690973716","-6.92751261957021","-3.00667133409323","-3.88571086150453","-2.38927148880888","-0.258035873808226","10.6048623131905","15.408435391953","15.970461499322","22.2320500793922","27.1084446730923","29.3251368478563","31.6736830098388","33.9268616998979","34.8183199792813","33.0971857951374","38.0430595531008","41.2222592327835","40.812877553343","41.9674551954232","43.7551733199028","43.8202752086719","","",
"Burkina Faso","BFA","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","14.7292198834022","14.2676480228851","15.9047994126818","16.5546182372801","18.9099579116708","19.1709585318544","17.7730422208169","18.4985579225955","18.696706633927","19.7245039525153","19.7804611291374","19.0662018212885","16.1145961050902","15.2663844697308","15.4073289235406","15.9857711347704","16.2829291614854","14.763258339906","15.4651943507146","15.5318700703642","13.6050074002715","14.2396018778515","14.5358348507829","14.7664706321581","19.6277697258833","18.9583682100864","21.5991123159635","21.2954508825803","18.1897719476357","18.5413705707853","19.9027650178168","19.3726326403163","19.217976927417","18.4392277196327","19.2652390380784","16.7056656160406","17.4835250110437","16.6740644670588","15.8843285783927","16.2437267991142","16.630550105282","","",
