"country","operNum","operEnr_MW","consNum","consEnr_MW"
"Argentina",3,1627,1,25
"Armenia",1,375,NA,NA
"Belarus",NA,1,1.109,NA
"Belgium",7,5927,NA,NA
"Brazil",2,1884,1,1245
"Bulgaria",2,1906,NA,NA
"Canada",19,13500,NA,NA
"China",22,18056,27,26756
"Czech Republic",6,3884,NA,NA
"Finland",4,2752,1,1600
"France",58,63130,1,1630
"Germany",9,12068,NA,NA
"Hungary",4,1889,NA,NA
"India",21,5308,6,3907
"Iran",1,915,NA,NA
"Japan",48,42388,2,1.325
"South Korea",23,20721,5,6370
"Mexico",2,1330,NA,NA
"Netherlands",1,482,NA,NA
"Pakistan",3,690,2,630
"Romania",2,1300,NA,NA
"Russia",33,23643,10,8382
"Slovakia",4,1815,2,880
"Slovenia",1,688,NA,NA
"South Africa",2,1860,NA,NA
"Spain",7,7121,NA,NA
"Sweden",10,9474,NA,NA
"Switzerland",5,3308,NA,NA
"Taiwan",6,5032,2,2600
"Ukraine",15,13107,2,1900
"United Arab Emirates",NA,NA,2,2690
"United Kingdom",16,9243,NA,NA
"United States",100,99081,5,5633
