"year","country","value"
1945,"USA",2
1946,"USA",9
1947,"USA",13
1948,"USA",50
1949,"USA",170
1950,"USA",299
1951,"USA",438
1952,"USA",841
1953,"USA",1169
1954,"USA",1703
1955,"USA",2422
1956,"USA",3692
1957,"USA",5543
1958,"USA",7345
1959,"USA",12298
1960,"USA",18638
1961,"USA",22229
1962,"USA",25540
1963,"USA",28133
1964,"USA",29463
1965,"USA",31139
1966,"USA",31175
1967,"USA",31255
1968,"USA",29561
1969,"USA",27552
1970,"USA",26008
1971,"USA",25830
1972,"USA",26516
1973,"USA",27835
1974,"USA",28537
1975,"USA",27519
1976,"USA",25914
1977,"USA",25542
1978,"USA",24418
1979,"USA",24138
1980,"USA",24104
1981,"USA",23208
1982,"USA",22886
1983,"USA",23305
1984,"USA",23459
1985,"USA",23368
1986,"USA",23317
1987,"USA",23575
1988,"USA",23205
1989,"USA",22217
1990,"USA",21392
1991,"USA",19008
1992,"USA",13708
1993,"USA",11511
1994,"USA",10979
1995,"USA",10904
1996,"USA",11011
1997,"USA",10903
1998,"USA",10732
1999,"USA",10685
2000,"USA",10577
2001,"USA",10526
2002,"USA",10457
2003,"USA",10027
2004,"USA",8570
2005,"USA",8360
2006,"USA",7853
2007,"USA",5709
2008,"USA",5273
2009,"USA",5113
2010,"USA",5000
1949,"Russia",1
1950,"Russia",5
1951,"Russia",25
1952,"Russia",50
1953,"Russia",120
1954,"Russia",150
1955,"Russia",200
1956,"Russia",426
1957,"Russia",660
1958,"Russia",869
1959,"Russia",1060
1960,"Russia",1605
1961,"Russia",2471
1962,"Russia",3322
1963,"Russia",4238
1964,"Russia",5221
1965,"Russia",6129
1966,"Russia",7089
1967,"Russia",8339
1968,"Russia",9399
1969,"Russia",10538
1970,"Russia",11643
1971,"Russia",13092
1972,"Russia",14478
1973,"Russia",15915
1974,"Russia",17385
1975,"Russia",19055
1976,"Russia",21205
1977,"Russia",23044
1978,"Russia",25393
1979,"Russia",27935
1980,"Russia",30062
1981,"Russia",32049
1982,"Russia",33952
1983,"Russia",35804
1984,"Russia",37431
1985,"Russia",39197
1986,"Russia",45000
1987,"Russia",43000
1988,"Russia",41000
1989,"Russia",39000
1990,"Russia",37000
1991,"Russia",35000
1992,"Russia",33000
1993,"Russia",31000
1994,"Russia",29000
1995,"Russia",27000
1996,"Russia",25000
1997,"Russia",23000
1998,"Russia",22500
1999,"Russia",22000
2000,"Russia",21500
2001,"Russia",21000
2002,"Russia",20000
2003,"Russia",19000
2004,"Russia",18000
2005,"Russia",17000
2006,"Russia",16000
2007,"Russia",15000
2008,"Russia",14000
2009,"Russia",13000
2010,"Russia",12000
1953,"UK",1
1954,"UK",7
1955,"UK",14
1956,"UK",21
1957,"UK",28
1958,"UK",31
1959,"UK",35
1960,"UK",42
1961,"UK",70
1962,"UK",288
1963,"UK",394
1964,"UK",436
1965,"UK",436
1966,"UK",380
1967,"UK",380
1968,"UK",394
1969,"UK",433
1970,"UK",394
1971,"UK",309
1972,"UK",309
1973,"UK",387
1974,"UK",457
1975,"UK",492
1976,"UK",492
1977,"UK",492
1978,"UK",492
1979,"UK",492
1980,"UK",492
1981,"UK",492
1982,"UK",471
1983,"UK",450
1984,"UK",380
1985,"UK",422
1986,"UK",422
1987,"UK",422
1988,"UK",422
1989,"UK",422
1990,"UK",422
1991,"UK",422
1992,"UK",422
1993,"UK",422
1994,"UK",352
1995,"UK",422
1996,"UK",422
1997,"UK",366
1998,"UK",281
1999,"UK",281
2000,"UK",281
2001,"UK",281
2002,"UK",281
2003,"UK",281
2004,"UK",281
2005,"UK",281
2006,"UK",281
2007,"UK",225
